vector_store_file_id,file_id,filename,status,size,size_bytes,created_at,created_timestamp
file-PUtZTDcqkrTawBfrpTSzxB,file-PUtZTDcqkrTawBfrpTSzxB,article_37346912563737.txt,completed,5.48 KB,5615,2025-10-23 17:58:43,1761206323
file-TKEDLy3i76T1WAVTEduT85,file-TKEDLy3i76T1WAVTEduT85,article_49539502304537.txt,completed,312 B,312,2025-10-23 17:28:53,1761204533
file-V8BhFxmGtHYvgg8WxukGHA,file-V8BhFxmGtHYvgg8WxukGHA,article_49533482352409.txt,completed,327 B,327,2025-10-23 17:27:23,1761204443
file-D9dNwK6FTKKQfQ8hMy867r,file-D9dNwK6FTKKQfQ8hMy867r,article_50155938741529.txt,completed,294 B,294,2025-10-23 16:53:02,1761202382
file-9D6HypRrcujpWdvpRp9Lvs,file-9D6HypRrcujpWdvpRp9Lvs,article_49921986292377.txt,completed,285 B,285,2025-10-23 16:50:24,1761202224
file-GpEzqecyMq3BATPNBLLmTz,file-GpEzqecyMq3BATPNBLLmTz,article_49921986292377.txt,completed,285 B,285,2025-10-23 16:50:17,1761202217
file-LCeQKcTeTWpktwZ3FoMrDW,file-LCeQKcTeTWpktwZ3FoMrDW,article_360040115011.txt,completed,16.86 KB,17262,2025-10-23 16:45:36,1761201936
file-GzuixaEHxZHfp5TS6Xzhyi,file-GzuixaEHxZHfp5TS6Xzhyi,article_51677022302745.txt,completed,363 B,363,2025-10-23 16:37:44,1761201464
file-HnKjPhiSMfBLNxCMD9kXPa,file-HnKjPhiSMfBLNxCMD9kXPa,article_51670911738649.txt,completed,351 B,351,2025-10-23 16:28:03,1761200883
file-NXwtvL6Q2PjL38dX9AkuEU,file-NXwtvL6Q2PjL38dX9AkuEU,article_49881600032793.txt,completed,9.30 KB,9526,2025-10-23 16:09:09,1761199749
file-UNWTBLRmCxzoTShABCLQp1,file-UNWTBLRmCxzoTShABCLQp1,article_4407166369689.txt,completed,6.37 KB,6520,2025-10-23 16:03:54,1761199434
file-6vfu4k6HWJzEEZkRUVZ7t1,file-6vfu4k6HWJzEEZkRUVZ7t1,article_49717794007833.txt,completed,336 B,336,2025-10-23 16:00:52,1761199252
file-6scoEohgWspFJe1aorsa6F,file-6scoEohgWspFJe1aorsa6F,article_51097364164633.txt,completed,294 B,294,2025-10-23 15:58:27,1761199107
